cowcode	year	FDI_UNCTAD_2	capex2000	capex09_152000	oecd	ICRG	sum_pending_full	sum_pending_full_indirect	sum_pending_full_direct	sum_pending_full_proInv	sum_pending_full_FET	polity2	GDP_growth	cusum	ka_open	USBIT	notdirect	notindirect	notFET	USPending	USI	USD	USFE	USnonFET	USnonD	USnonI	sum_ICSID_pending_direct	sum_ICSID_pending_indirect	sum_ICSID_pending_FET	sum_ICSID_pending_Full	ICSIDnotdirect	ICSIDnotindirect	ICSIDnotFET
551.0	1990.0	202.78			0.0	1.0	0.0	0.0	0.0	0.0	0.0	-9	-0.48107204	1.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1991.0	34.34			0.0	1.0	0.0	0.0	0.0	0.0	0.0	6	-0.036133382	1.0	0.16569704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1992.0	45.0			0.0	1.0	0.0	0.0	0.0	0.0	0.0	6	-1.7309222	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1993.0	314.4			0.0	1.0	0.0	0.0	0.0	0.0	0.0	6	6.797274	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1994.0	40.0			0.0	1.0	0.0	0.0	0.0	0.0	0.0	6	-8.625442	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1995.0	97.0			0.0	1.0	0.0	0.0	0.0	0.0	0.0	6	2.8976688	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1996.0	117.1			0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	6.2185464	2.0	0.7583891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1997.0	217.0	2.14		0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	3.8140075	2.0	0.6530948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1998.0	238.0	4.24		0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	-0.38574615	2.0	0.7134976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	1999.0	85.961	4.12		0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	4.65019	2.0	0.9395973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2000.0	121.7	2.0		0.0	1.0	0.0	0.0	0.0	0.0	0.0	1	3.897323	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2001.0	145.0	2.91		0.0	1.0	0.0	0.0	0.0	0.0	0.0	5	5.3168683	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2002.0	298.36	3.84		0.0	1.0	0.0	0.0	0.0	0.0	0.0	5	4.5060143	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2003.0	346.62	2.82		0.0	1.0	0.0	0.0	0.0	0.0	0.0	5	6.944974	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2004.0	364.0	4.55		0.0	1.0	0.0	0.0	0.0	0.0	0.0	5	7.032395	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2005.0	356.94	2.64		0.0	1.0	0.0	0.0	0.0	0.0	0.0	5	7.235599	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2006.0	615.79	4.25		0.0	1.0	0.0	0.0	0.0	0.0	0.0	5	7.9036946	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2007.0	1323.9			0.0	1.0	0.0	0.0	0.0	0.0	0.0	5	8.352436	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2008.0	938.62			0.0	1.0	0.0	0.0	0.0	0.0	0.0	7	7.7738957	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2009.0	694.8		5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7	9.220348	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2010.0	1729.3		6.35	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7	10.298205	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2011.0	1108.5		3.93	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7	5.564625	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2012.0	1731.5		5.32	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7	7.597617	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2013.0	2099.8		2.7	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7	5.0593762	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2014.0	1488.785		4.11	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7	4.6958265	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2015.0	1582.667		11.04	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7	2.919881	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.0	2016.0	468.538			0.0		0.0	0.0	0.0	0.0	0.0	6	3.609742	4.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1984.0	2.5			0.0	2.33	0.0	0.0	0.0	0.0	0.0	1	-1.9073601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1985.0	2.9			0.0	3.0	0.0	0.0	0.0	0.0	0.0	1	6.944388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1986.0	7.5			0.0	3.0	0.0	0.0	0.0	0.0	0.0	1	2.099029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1987.0	30.5			0.0	3.0	0.0	0.0	0.0	0.0	0.0	-6	1.1507372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1988.0	18.5			0.0	2.25	0.0	0.0	0.0	0.0	0.0	-6	7.5523744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1989.0	10.2			0.0	2.0	0.0	0.0	0.0	0.0	0.0	-6	5.1997666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1990.0	12.2			0.0	2.0	0.0	0.0	0.0	0.0	0.0	-6	6.988553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1991.0	2.8			0.0	2.0	0.0	0.0	0.0	0.0	0.0	-6	5.531782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.0	1992.0	19.0			0.0	3.0	0.0	0.0	0.0	0.0	0.0	-6	-9.01557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
