cowcode,year,irtpers8,seirtpers8
93,1955,1.037515,.4736499
93,1956,1.037515,.4736499
93,1957,.0452043,.4186924
93,1958,.0452043,.4186924
93,1959,.0452043,.4186924
93,1960,.0452043,.4186924
93,1961,.0452043,.4186924
93,1962,.0452043,.4186924
93,1963,.0452043,.4186924
93,1964,.0452043,.4186924
93,1965,.0452043,.4186924
93,1966,.0452043,.4186924
93,1967,.0452043,.4186924
93,1968,.2399933,.4196256
93,1969,.2399933,.4196256
93,1970,.2399933,.4196256
93,1971,.2399933,.4196256
93,1972,.2399933,.4196256
93,1973,.2399933,.4196256
93,1974,.2399933,.4196256
93,1975,.2399933,.4196256
93,1976,.2399933,.4196256
93,1977,1.425203,.5280889
93,1978,1.425203,.5280889
93,1979,1.425203,.5280889
93,1980,-.2341247,.4278311
93,1981,-.2341247,.4278311
93,1982,-.2341247,.4278311
93,1983,-.2341247,.4278311
93,1984,-.2341247,.4278311
93,1985,-.2341247,.4278311
93,1986,-.2341247,.4278311
93,1987,-.2341247,.4278311
93,1988,-.2341247,.4278311
93,1989,-.2341247,.4278311
93,1990,-.2341247,.4278311
94,1949,-.3171201,.4335034
95,1950,.2399933,.4196256
95,1951,.2399933,.4196256
95,1954,-.2695529,.4300676
95,1955,-.2695529,.4300676
95,1969,-1.321256,.6139747
95,1970,-1.321256,.6139747
95,1971,-1.321256,.6139747
95,1972,-1.321256,.6139747
95,1973,-.5361967,.4561602
95,1974,-.5361967,.4561602
95,1975,-.5361967,.4561602
95,1976,-.5361967,.4561602
95,1977,-.5361967,.4561602
95,1978,-.5361967,.4561602
95,1979,-.0386574,.419993
95,1980,-.0386574,.419993
95,1981,-.0386574,.419993
95,1982,-1.321256,.6139747
95,1983,-1.321256,.6139747
95,1984,.2399933,.4196256
95,1985,.2399933,.4196256
95,1986,.2399933,.4196256
95,1987,.2399933,.4196256
95,1988,.2399933,.4196256
95,1989,.2399933,.4196256
100,1950,-1.321256,.6139747
100,1951,-1.321256,.6139747
100,1952,-.8920777,.5165605
100,1953,-.8920777,.5165605
100,1954,-.9617928,.5311955
100,1955,-.9617928,.5311955
100,1956,-.9617928,.5311955
100,1957,-.9617928,.5311955
100,1958,-1.321256,.6139747
101,1949,-1.321256,.6139747
101,1950,-1.321256,.6139747
101,1951,.3190812,.4214201
101,1952,.3190812,.4214201
101,1953,.5516655,.4311428
101,1954,.5516655,.4311428
101,1955,.5516655,.4311428
101,1956,.5516655,.4311428
101,1957,.5516655,.4311428
101,1958,.5516655,.4311428
101,2006,1.037515,.4736499
101,2007,1.037515,.4736499
101,2008,1.037515,.4736499
101,2009,1.037515,.4736499
101,2010,1.037515,.4736499
130,1946,-.5361967,.4561602
130,1947,-.5361967,.4561602
130,1964,-1.321256,.6139747
130,1965,-1.321256,.6139747
130,1966,-1.321256,.6139747
130,1971,-.5361967,.4561602
130,1972,-.2341247,.4278311
130,1973,-1.321256,.6139747
130,1974,-1.321256,.6139747
130,1975,-1.321256,.6139747
130,1976,-1.321256,.6139747
130,1977,-1.321256,.6139747
130,1978,-1.321256,.6139747
130,1979,-1.321256,.6139747
135,1949,.0098139,.4191052
135,1950,.0098139,.4191052
135,1951,.2347436,.4195342
135,1952,.2347436,.4195342
135,1953,.2347436,.4195342
135,1954,.2347436,.4195342
135,1955,.2347436,.4195342
135,1956,.2347436,.4195342
135,1963,-1.321256,.6139747
135,1969,-1.321256,.6139747
135,1970,-1.321256,.6139747
135,1971,-1.321256,.6139747
135,1972,-1.321256,.6139747
135,1973,-1.321256,.6139747
135,1974,-1.321256,.6139747
135,1975,-1.321256,.6139747
135,1976,-1.321256,.6139747
135,1977,-1.321256,.6139747
135,1978,-1.321256,.6139747
135,1979,-1.321256,.6139747
135,1980,-1.321256,.6139747
135,1993,.0452043,.4186924
135,1994,.0452043,.4186924
135,1995,.2399933,.4196256
135,1996,.2399933,.4196256
135,1997,.2399933,.4196256
135,1998,.2399933,.4196256
135,1999,.2399933,.4196256
135,2000,.2399933,.4196256
140,1965,-1.321256,.6139747
140,1966,-.0600132,.4205077
140,1967,-.0600132,.4205077
140,1968,-.2920207,.4316276
140,1969,-.2920207,.4316276
140,1970,-.2920207,.4316276
140,1971,-.2920207,.4316276
140,1972,-.2920207,.4316276
140,1973,-.2920207,.4316276
140,1974,-.2920207,.4316276
140,1975,-.2920207,.4316276
140,1976,-.2920207,.4316276
140,1977,-.2920207,.4316276
140,1978,-.2920207,.4316276
140,1979,-.7323238,.4861371
140,1980,-.7323238,.4861371
140,1981,-.7323238,.4861371
140,1982,-.7323238,.4861371
140,1983,-.7323238,.4861371
140,1984,-.7323238,.4861371
140,1985,-.7323238,.4861371
145,1946,-1.321256,.6139747
145,1947,-.8418534,.5064905
145,1948,-1.321256,.6139747
145,1949,-1.321256,.6139747
145,1950,-1.321256,.6139747
145,1951,-1.321256,.6139747
145,1952,-1.321256,.6139747
145,1953,-.8920777,.5165605
145,1954,-.8920777,.5165605
145,1955,-.8920777,.5165605
145,1956,-.8920777,.5165605
145,1957,-.8920777,.5165605
145,1958,-.8920777,.5165605
145,1959,-.8920777,.5165605
145,1960,-.8920777,.5165605
145,1961,-.8920777,.5165605
145,1962,-.8920777,.5165605
145,1963,-.8920777,.5165605
145,1964,-.8920777,.5165605
145,1965,-.5361967,.4561602
145,1966,-.284961,.4311255
145,1967,-.284961,.4311255
145,1968,-.284961,.4311255
145,1969,-.284961,.4311255
145,1970,-1.321256,.6139747
145,1971,-1.321256,.6139747
145,1972,-1.321256,.6139747
145,1973,-1.321256,.6139747
145,1974,.0098139,.4191052
145,1975,.0098139,.4191052
145,1976,.0098139,.4191052
145,1977,.0098139,.4191052
145,1978,.0098139,.4191052
145,1979,-1.321256,.6139747
145,1981,-1.321256,.6139747
145,1982,-1.321256,.6139747
150,1946,-.5361967,.4561602
150,1947,-.5361967,.4561602
150,1948,.3190812,.4214201
150,1949,-.4642471,.4474478
150,1950,-1.321256,.6139747
150,1951,-1.321256,.6139747
150,1952,-1.321256,.6139747
